plain_language_program_name,language,get_help_summary,how_to_apply_or_enroll_by_1,office_locations_url
Crédit d’impôt pour les familles avec enfants,French,"\nRenseignez-vous sur les crédits d’impôt (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) que vous pouvez demander.\nAppelez le 800 906 9887 pour trouver le bureau le plus proche du service d’assistance fiscale bénévole (Volunteer Income Tax Assistance, VITA) ou des conseils en fiscalité pour les personnes âgées (Tax Counseling for the Elderly, TCE).",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
장애인 임대료 동결,Korean,웹사이트 방문상세 내용은 the 뉴욕시 임대료 동결 프로그램 웹사이트 (http://www1.nyc.gov/site/rentfreeze/index.page) 를 방문하십시오.COVID-19 동안의 임대료 동결 프로그램은 자주 하는 질문 (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) 을 검토하십시오.DRIE에 문의하기재무부에 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) 지원을 요청하십시오.TTY를 이용해 DRIE에 전화하기청각 장애가 있다면 212-639-9675번으로 문의해 주십시오.311번으로 전화 문의DRIE 전문가를 찾으십시오.,Housing Development Fund Company(HDFC) 아파트 또는 Mitchell-Lama 거주자의 경우 HPD에 212-863-8494번으로 전화하여 신청해 주십시오.,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
বাড়ির মালিকদের জন্য সম্পত্তি কর কমান,Bengali,\nআরো তথ্যের জন্য আমাদেরSTAR ওয়েবসাইটে (https://tax.ny.gov/pit/property/star/default.htm) যান।\nআরো জানতে311 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) নম্বরে ফোন করুন।\nযদি আপনার STAR সম্পর্কে প্রশ্ন থাকে তাহলে NYC অর্থিক বিভাগে ইমেল করুন।\nনিউইয়র্ক স্টেট স্টার ট্যাক্স ক্রেডিট সম্পর্কে আরও তথ্যের জন্য 518-457-2036 এ নিউইয়র্ক স্টেট ডিপার্টমেন্ট অফ ট্যাক্সেশন অ্যান্ড ফাইন্যান্সের সাথে যোগাযোগ করুন।,"যদি আপনার আয় $ 250, 000 এর বেশি এবং $ 500,000 এর কম বা সমান হয়, তাহলে আপনি নিউ ইয়র্ক স্টেট স্টার ট্যাক্স ক্রেডিটের জন্য অনলাইনে নিবন্ধন করতে পারেন (https://www.tax.ny.gov/pit/property/star/) অথবা 518-457-2036 এ কল করে।",
Программа налоговых льгот для ветеранов,Russian,"\nПодробную информацию можно получить на сайте программы налоговых льгот для ветеранов (Veterans' Exemption). (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) \nПосетите ближайший офис Департамента финансов (Department of Finance) (http://www1.nyc.gov/site/finance/pay-now/person.page) , чтобы получить помощь лично.\nЕсли у вас возникли вопросы об этой программе, вы можете задать их, позвонив по телефону 311.",,
Pieniądze na zakup żywności,Polish,"\nWięcej informacji można znaleźć na (http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/eligibility_factors_and_suggested_documentation_guide.pdf) stronie internetowej SNAP (https://www1.nyc.gov/site/hra/locations/snap-locations.page) .\nPomoc w ubieganiu się o SNAP można uzyskać dzwoniąc na infolinię HRA pod numer 718-557-1399 (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) .\nOdwiedź centrum SNAP lub swoją lokalną organizację społeczną (CBO), aby uzyskać pomoc osobiście.",,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
প্রবীণ বাড়ির মালিকদের জন্য কসম্পত্তি র সিধরতি,Bengali,"\nআরও জানতে SCHE ওয়েবসাইট (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) দেখুন।\n212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) এ কল করুন। TTY বা টেক্সট টেলিফোনের জন্য, 212-639-9675 নম্বরে কল করুন\nআরও তথ্যের জন্য SCRIE -কে ইমেল করুন",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Alèjman taks sou pwopriyete pou pwopriyetè kay ki aje yo,Haitian Creole,"\nAle sou sitwèb SCHE (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) a pou w jwenn plis enfòmasyon.\nRele nan 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) . Pou TTY oswa Mesaj Tèks, rele nan 212-639-9675\nVoye imèl bay SCHE pou w jwenn plis enfòmasyon.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Lajan kach pa mwa a ede lè w nan bezwen,Haitian Creole,\nVizite sitwèb Asistans ak Lajan Kach (http://www1.nyc.gov/site/hra/help/cash-assistance.page) la pou aprann plis sou pwogram sa a.\nRele HRA nan 718-557-1399 pou plis enfòmasyon.,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
Allègement de l’impôt foncier pour les anciens combattants,French,\nRendez-vous sur le site web dédié aux exonérations (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) pour les anciens combattants pour obtenir plus d'informations.\nVisitez un (http://www1.nyc.gov/site/finance/about/contact-us.page) bu (http://www1.nyc.gov/site/finance/pay-now/person.page) reau du Ministère des finances près de chez vous pour obtenir de l'aide en personne.\nTéléphonez au 311 et posez vos questions sur l'exonération pour les anciens combattants si vous en avez.,,
برنامج صف ما قبل الروضة المجاني للأطفال بعمر أربع سنوات,Arabic,\nقم بزيارة موقع برامج ما قبل رياض التابع لإدارة التعليم بمدينة نيويورك (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) لمعرفة المزيد حول عملية القبول ببرامج ما قبل رياض الأطفال.\nاتصل على الرقم2009-935-718 (mailto:ESEnrollment@schools.nyc.gov) إذا كانت لديك أسئلة حول عملية القبول في برامج ما قبل رياض الأطفال.\nقم بإرسال بريد إلكتروني لعمليات القبول في برامج ما قبل رياض الأطفال على ESEnrollment@schools.nyc.gov (http://nyc.gov/schools/welcomecenters) إذا كانت لديك أسئلة حول الالتحاق ببرامج ما قبل رياض الأطفال.\nقم بزيارة أحد مراكز الترحيب بالأسرة لمعرفة المزيد حول برامج ما قبل رياض الأطفال.,\nسجِّل عبر الهاتف من خلال الاتصال بالرقم ‎718-935-2009.تمتد فترة التقديم من 10 يناير 2024 إلى 1 مارس 2024.\nتتوفر خدمات الترجمة الفورية بأكثر من 200 لغة.,
자녀가 있는 가족을 위한 세금 공제,Korean,"\nNYC 소비자 및 근로자 보호국(NYC Department of Consumer and Worker Protection, DCWP) (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) 에서 기타 세금 공제에 대한 자세한 내용을 확인하십시오.\n가까운 자원봉사 소득세 신고 도우미 서비스(Volunteer Income Tax Assistance, VITA) 또는 고령자를 위한 세금 자문 서비스(Tax Counseling for the Elderly, TCE) 사무소 위치를 알아보려면 전화 800-906-9887번으로 문의 바랍니다.",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Plan asirans sante prive,Haitian Creole,Jwenn plis enfòmasyon sou opsyon asirans santeaJwenn plis enfòmasyon sou opsyon w yo atravè Aksè a Asirans Sante HRAnan Tout Vil la (HRA's Citywide Health Insurance Access) (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) .Mande èd pou enskripsyonGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) ederezidan New York yo enskri nan asirans sante a. Espesyalis devwekapab ede w nan lang ou an gratis.Mande pou yon konseye rele wRanpli yon Fòm Enskripsyon Asistans pou Asirans Sante(Health Insurance Enrollment Assistance Inquiry Form) (https://nycdohmh.surveymonkey.com/r/7BB62M3) pou w karesevwa yon apèl nan men yon konseye enskripsyon. Asistansenskripsyon gratis disponib kèlkeswa estati imigrasyon w epi se nanplizyè lang. Y ap kenbe enfòmasyon ou prive.Rele 311Pou kesyon jeneral sou asirans sante ak pou jwenn yon asistanfas-a-fas.,Rele NY State of Health nan855-355-5777oswa TTY:800-662-1220.,
جب آپ ضرورت مند ہوں تو ماہانہ نقد اعانت,Urdu,\nاس پروگرام سے متعلق مزید جاننے کے لیےنقد امداد کی ویب سائیٹ (http://www1.nyc.gov/site/hra/help/cash-assistance.page) ملاحظہ کریں۔\nمزید معلومات کے لیے HRA انفو لائن کو 1399-557-718 پر کال کریں۔,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
"Программа ухода за детьми в возрасте от шести недель до двух лет, которая доступна бесплатно или за небольшую плату",Russian,"\nБолее подробную информацию о программе EarlyLearn можно на веб-странице NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) .\nПозвоните по номеру 311. Если вам требуется помощь с поиском программы, создайте запрос о программе ухода за детьми EarlyLearn.",,{'url': 'https://www.myschools.nyc/ru/schools/3k/'}
有子女家庭的稅額抵免,Chinese (Traditional),"\n請從紐約市消費者與勞工保護局 (Department of Consumer and Worker Protection) (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) 瞭解更多其他稅額抵減福利。\n請撥打 800-906-9887 尋找最近的所得稅協助志工 (Volunteer Income Tax Assistance, VITA) 或長者報稅諮詢顧問 (Tax Counseling for the Elderly, TCE)。",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Free or low-cost child care for children six weeks to two years old,English,\nGet more information about childcare from NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) .,,{'url': 'https://www.myschools.nyc/en/schools/3k/'}
خفض الضريبة العقارية على مالكي المنازل من كبار السن,Arabic,\nقم بزيارة موقع SCHE الإلكتروني (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) لمعرفة المزيد.\nاتصل على الرقم 9675-639-212 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) . للهاتف النصي، اتصل على الرقم 9675-639-212\nأرسل بريدًا إلكترونيًا إلى SCHE لمزيد من المعلومات.,,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
"Налоговый вычет, если у вас были расходы по уходу за детьми или иждивенцами",Russian,"\nУзнайте о налоговых вычетах (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) , на которые вы можете претендовать.\nПозвоните по номеру 800-906-9887, чтобы узнать адрес ближайшего пункта Программы оказания безвозмездной помощи по вопросам подоходного налогообложения (Volunteer Income Tax Assistance, VITA) или Программы консультаций по вопросам налогообложения для пожилых людей (Tax Counseling for the Elderly, TCE).",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Allègement de l’impôt foncier pour les propriétaires âgés,French,"\nPour en savoir plus, rendez-vous sur le site internet dédié à la SCHE (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) \nAppelez le 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) pour en savoir plus. Pour bénéficier du service SRT ou d’un téléscripteur, appelez le 212 639 9675\nEnvoyez un courriel au service chargé de la SCHE pour en savoir plus.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Vouchers that pay part of your rent,English,\n (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Learn more about Section 8 (https://wb-nycha.qmatic.cloud/) from NYCHA's website.\nCall NYCHA's Customer Contact Center (CCC) at 718-707-7771.\nMake an appointment to visit a Customer Contact Center.,,
退伍軍人房地產稅減稅優惠,Chinese (Traditional),\n造訪「退伍軍人豁免」網站 (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) 瞭解更多資訊。\n前往您附近的財政部辦公 (http://www1.nyc.gov/site/finance/pay-now/person.page) 室獲得當面幫助。\n如果您對此計劃有任何疑問，請致電 311 並詢問「退伍軍人豁免」。,,
وہ واؤچرز جو آپ کے کرایے کا کچھ حصہ ادا کرتے ہیں,Urdu,"ویب سائٹ ملاحظہ کریں (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) NYCHA کی ویب سائٹ سے سیکشن 8 کے بارے میں مزید جانیں۔اگر آپ کے سوالات ہیں تو کال کریںNYCHA کے کسٹمر رابطہ سنٹر (Customer Contact Center, CCC) کو 7771-707-718 پر کال کریں۔ COVID-19 کی وجہ سے، NYCHA کے کسٹمر رابطہ سنٹرز فی الحال واک ان وزیٹرز کی اجازت نہیں دے رہے ہیں۔311 پر کال کریںسیکشن 8 کے حوالے سے معاونت طلب کریں",,
高齡屋主房地產稅減稅優惠,Chinese (Traditional),\n造訪 SCHE 網站 (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) ，深入瞭解相關資訊。\n撥打 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) 。如使用 TTY 或文字電話，請撥打 212-639-9675\n傳送電子郵件給 SCHE 洽詢更多資訊。,,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Kredi sou taks pou fanmi ki genyen timoun,Haitian Creole,"\nAprann plis sou lòt kredi sou taks nan Depatman Pwoteksyon Konsomatè ak Travayè Vil New York la (NYC Department of Consumer and Worker Protection) (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) .\nRele 800-906-9887 pou konnen ki kote ki gen yon biwo Èd Volontè pou Taks sou Revni (Volunteer Income Tax Assistance, VITA) oswa Konsèy sou Taks pou Granmoun Aje (Tax Counseling for the Elderly, TCE) ki toupre ou.",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
暖氣與公用事業費資金,Chinese (Traditional),\n造訪 OTDA 網站的 HEAP 網頁 (https://otda.ny.gov/programs/heap/) ，深入瞭解此計畫的相關資訊。\n致電 718-557-1399 獲得 HEAP 的幫助。\n致電 311 向家庭能源援助計畫尋求援助。,2024-25 年緊急福利申請已於 2025 年 4 月 7 日結束。您不能透過電話申請 HEAP 常規福利。 請撥打718-557-1399申請緊急福利或查詢您的申請狀態。 您必須首先申請 HEAP 常規福利並獲得核准。,{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
Atención y educación para niños de 3-4 años de familias de bajos ingresos.,Spanish,"\nObtenga más información sobre Head Start en NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) .\nLlame al 311 y pregunte por ""Head Start"" si necesita ayuda para encontrar un programa.",,
Congelamiento de la renta para personas con discapacidades,Spanish,Visite los sitios webVisite el sitio web del Programa de congelación de la renta de la Ciudad de Nueva York (http://www1.nyc.gov/site/rentfreeze/index.page) para obtener más información.Consulte las preguntas frecuentes (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) para el Programa de congelación de la renta durante el COVID-19.Comuníquese con DRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Pida asistencia al Departamento de Finanzas.Llame a DRIE usando TTYLlame al 212-639-9675 si tiene dificultades auditivas.Llame al 311Pregunte por los especialistas en DRIE.,"Si vive en un apartamento de la Cooperativa Compañía de Fondos de Desarrollo para Vivienda o de Mitchell-Lama, llame al Departamento de Conservación y Desarrollo de la Vivienda al 212-863-8494 para realizar la solicitud.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
رعاية وتعليم من تتراوح أعمارهم بين 3-4‎‏ أعوام من الأسر ذات الدخل المنخفض,Arabic,"\nتعرف على المزيد عن برامج رأس يبدأ‏ من موقع ‏NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) ‏.\nاتصل على الرقم 311 واسأل عن برامج ""Head Start (رأس يبدأ)‏"" إذا كنت بحاجة إلى مساعدة في العثور على برنامج.",,
紐約市傷殘市民的房產稅減稅優惠,Chinese (Traditional),\n親自前往財政部商務中心 (http://www1.nyc.gov/site/finance/pay-now/person.page) （週一至週五，上午 8:30 至下午 4:30）獲得幫助。\n造訪 DHE 網站 (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) 以瞭解更多資訊。\n致電 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) 、212-639-9675（城外）或 TTY 212-639-9675（聽障專線）聯絡 DHE。\n寄送電子郵件給 DHE 以瞭解更多資訊。,,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Pieniądze na wydatki na ogrzewanie i media,Polish,"\nOdwiedź stronę internetową OTDA poświęconą HEAP (https://otda.ny.gov/programs/heap/) , aby dowiedzieć się więcej o tym programie.\nBy uzyskać pomoc w kwestii HEAP, zadzwoń pod numer 718-557-1399.\nZadzwoń pod numer 311 i zapytaj o program Pomocy w zakresie pokrywania kosztów energii i ogrzewania.","Przyjmowanie wniosków o świadczenie w sytuacji awaryjnej na okres 2024–2025 zakończono 7 kwietnia 2025 r. Nie można ubiegać się o zwykłe świadczenie HEAP przez telefon. Zadzwoń pod numer718-557-1399, aby ubiegać się o świadczenia w sytuacji awaryjnej lub sprawdzić status swojego wniosku. Należy najpierw złożyć wniosek i uzyskać zgodę na otrzymanie regularnego świadczenia w ramach HEAP.",{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
Money to buy food,English,\nVisit the SNAP website (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) to find out more information.\nCall the HRA Infoline at 718-557-1399 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) for help applying for SNAP.\nVisit a SNAP center (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) or your local Community-Based Organization (CBO) to get help in person.,,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
De l’argent pour acheter de la nourriture,French,\nRendez-vous sur le site web de SNAP (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) pour en savoir plus.\nAppelez la ligne téléphonique d'information de HRA au 718-557-1399 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) pour obtenir de l'aide afin de faire une demande d'allocations SNAP.\nRendez-vous dans un centre SNAP (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) ou dans votre organisme communautaire local pour obtenir de l’aide en personne.,,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
Обучение и уход за детьми в возрасте 3–4 лет из малообеспеченных семей,Russian,"\nУзнайте больше о Head Start на веб-странице NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) .\nЕсли вам нужна помощь с поиском программы, позвоните по номеру 311 и попросите рассказать о программе Head Start.",,
বেসরকারী স্বাস্থ্য বীমা পরিকল্পনা,Bengali,স্বাস্থ্য বিমা বিকল্প সম্পর্কে আরও জানুনHRA এর শহরব্যাপীস্বাস্থ্য বিমা উপলভ্যতার (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) মাধ্যমে আপনার বিকল্পগুলি সম্পর্কে আরওজানুন।তালিকাভুক্তি সাহায্যের জন্য অনুরোধ করুনGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) নিউইয়র্কবাসীকে স্বাস্থ্য বিমাতে নথিভুক্ত করতে সাহায্য করে। নিবেদিতবিশেষজ্ঞরা আপনাকে বিনামূল্যে আপনার ভাষায় সহায়তা করতে পারেন।কাউন্সেলর কলের অনুরোধ করুনএকটি তালিকাভুক্তি পরামর্শদাতার কাছ থেকে একটি কল পেতে একটিস্বাস্থ্য বিমা তালিকাভুক্তিসহায়তা অনুসন্ধান ফর্মটি (https://nycdohmh.surveymonkey.com/r/7BB62M3) সম্পূর্ণ করুন৷ অভিবাসন অবস্থানির্বিশেষে এবং অনেক ভাষায় বিনামূল্যে তালিকাভুক্ত সহায়তা পাওয়াযায়। আপনার তথ্য গোপন রাখা হবে।311-এতে কল করুনস্বাস্থ্য বিমা সম্পর্কে সাধারণ প্রশ্নের জন্য একজন ব্যক্তিগতসহকারী খুঁজুন।,NY State of Health-এ855-355-5777নম্বরেঅথবা TTY:800-662-1220নম্বরেকল করুন।,
প্রতিবন্ধী লোকেদের জন্য রেন্ট ফ্রিজ,Bengali,ওয়েবসাইটগুলি দেখুনআরও জানতে NYC DOE ওয়েবসাই (http://www1.nyc.gov/site/rentfreeze/index.page) দেখুন।রেন্ট ফ্রিজ প্রোগ্রাম (Rent Freeze Program) (SCRIE and DRIE) এবং COVID-19 সচরাচর জিজ্ঞাস্য প্রশ্নগুলি (COVID-19 frequently asked questions) (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) দেখুন।DRIE কে যোগাযোগ করুনঅর্থ বিভাগ এর (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) সহায়তার জন্য অনুরোধ করুন।TTY ব্যবহার করে DRIE কে ফোন করুনআপনার শুনতে অসুবিধা হলে 212-639-9675 নম্বরে ফোন করুন।311 নম্বরে ফোন করুনDRIE বিশেষজ্ঞদের জন্য বলুন।,যদি আপনি হাউজিং ডেভেলপমেন্ট ফান্ড কোম্পানির (HDFC) অ্যাপার্টমেন্টে থাকেন Mitchell-Lama অ্যাপার্টেমেন্টে থাকেন তাহলে আবেদন করার জন্য 212-863-8494 নম্বরে HPD কে ফোন করুন।,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Opieka i edukacja dla 3-4-latków z rodzin o niskich dochodach,Polish,"\nWięcej informacji na temat programu Head Start można uzyskać w NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) .\nJeżeli ma Pan/Pani problem ze znalezieniem programu, należy zapytać o program „Head Start”.",,
হিট এবং ইউটিলিটিসংক্রান্ত ব্যয়ের জন্য অর্থ,Bengali,,2024-25 HEAP জরুরী সুবিধা (Emergency Benefit) আবেদন গ্রহণের শেষ তারিখ ছিল 7 এপ্রিল 2025। আপনি ফোনের মাধ্যমে নিয়মিত HEAP সুবিধার (Regular HEAP benefit) জন্য আবেদন করতে পারবেন না। জরুরী সুবিধাগুলির (Emergency benefits) জন্য আবেদন করতে বা আপনার আবেদনের স্থিতি পরীক্ষা করতে718-557-1399 নম্বরেকল করুন। আপনাকে অবশ্যই প্রথমে আবেদন করতে হবে এবং HEAP নিয়মিত সুবিধার জন্য অনুমোদিত হতে হবে।,{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
Alèjman taks sou pwopriyete pou veteran yo,Haitian Creole,\nVizite sitwèb Egzanpsyon Veteran (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page)  an pou plis enfòmasyon.\nVizite yon sit biwo Depatman Finans (http://www1.nyc.gov/site/finance/pay-now/person.page) pou jwenn èd fas-a-fas.\nRele 311 epi mande sou Egzanpsyon Veteran an si ou gen kesyon sou pwogram nan.,,
Bezpłatna lub niedroga opieka dla dzieci w wieku od sześciu tygodni do dwóch lat,Polish,"\nWięcej informacji na temat programów EarlyLearn można uzyskać w NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) .\nNależy zadzwonić pod numer 311. Jeżeli potrzebuje Pan/Pani pomocy w znalezieniu programu, należy zapytać o program „EarlyLearn”.",,{'url': 'https://www.myschools.nyc/en/schools/3k/'}
نجی صحت بیمہ منصوبے,Urdu,صحت بیمہ کے اختیارات کے بارے میں مزید جانیںHRA کے پورے شہر میں صحتبیمہ تک رسائی (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) کے ذریعے اپنے اختیارات کے بارے میں مزیدجانیں۔اندراج میں مدد کی درخواست کریںGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) نیویارک کے باشندوں کو صحت بیمہ کیلئے اندراج میں مدد کرتا ہے۔ مختصماہرین آپ کی زبان میں آپ کی مدد مفت کر سکتے ہیں۔مشیر کی کال کی درخواست کریںاندراج کے مشیر کی جانب سے کال موصول کرنے کیلئے ایک ہیلتھ انشورنس انرولمنٹ اسسٹنس انکوائریفارم (https://nycdohmh.surveymonkey.com/r/7BB62M3) مکمل کریں۔ اندراج میں مفت مدد ترک وطن کی حیثیت سے قطع نظراور بہت سی زبانوں میں دستیاب ہے۔ آپ کی معلومات کو نجی رکھا جائےگا۔311 پر کال کریںصحت بیمہ سے متعلق عمومی سوالات کیلئے اور ذاتی معاون تلاش کرنے کےواسطے۔,NY State of Health‏ کو‎855-355-5777‏پر یا ‏TTY:800-662-1220‏ پر کال کریں۔,
Talony pokrywające część opłat za wynajem,Polish,"\n (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Więcej informacji na temat « Section 8 » można znaleźć (https://wb-nycha.qmatic.cloud/) na stronie internetowej NYCHA.\nProsimy o kontakt z Centrum Kontaktów z Klientami (Customer Contact Center, CCC) NYCHA pod numerem 718-707-7771.\nUmów się na wizytę w Centrum Kontaktu z Klientem.",,
Programme Pre-K gratuit pour votre enfant de quatre ans,French,"\nRendez-vous sur le site internet du programme de maternelle du Département de l’éducation de la ville de New York (NYC DOE) (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) pour en savoir plus sur la procédure d’admission en maternelle.\nSi vous avez des questions concernant la procédure d’admission en maternelle, appelez le 718-935-2009 (mailto:ESEnrollment@schools.nyc.gov) .\nVous pouvez également envoyer un courriel au service des admissions en maternelle à l’adresse ESEnrollment@schools.nyc.gov (http://nyc.gov/schools/welcomecenters) si vous avez des questions sur les inscriptions en maternelle.\nRendez-vous dans un Centre d’accueil familial pour en savoir plus les programmes de maternelle.",\nInscrivez-vous par téléphone en appelant le 718 935 2009.Faites une demande d’inscription entre le 10 janvier 2024 et le 1er mars 2024\nDes services d’interprétation sont proposés dans plus de 200 langues.,
Gel des loyers pour les seniors,French,"\nConsultez le site internet du SCRIE (http://nyc.gov/rentfreeze) pour en savoir plus sur ce programme.\nConsultez la foire aux questions (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) sur le programme de gel des loyers (SCRIE et DRIE) et la COVID-19.\n (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) Envoyez un courriel à la SCRIE (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) pour obtenir davantage d’informations\nAppelez le 311 et demandez un spécialiste du SCRIE ou le 212 639 9675 si vous avez des problèmes d’auditionPour le SCRIE supervisé par le HPD :\nPour obtenir de plus amples informations, envoyez un courriel au HPD si vous souhaitez déposer une demande ou si vous vivez dans un logement social Mitchell-Lama ou Redevelopment Company.\nConsultez le site internet du HPD pour en savoir plus ou appeler le 212 863 8494 pour poser vos questions.","Si vous vivez dans un logement social Mitchell-Lama ou Redevelopment Company, appelez le HPD au 212 863 8494 pour déposer une demande de SCRIE supervisé par le HPD.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
কর রিফান্ড যদি আপনি শিশু বা নির্ভরশীল ব্যক্তির পরিচর্যার জন্য অর্থপ্রদান করে থাকেন,Bengali,"\nআপনি দাবি করতে পারেন এমন ট্যাক্স ক্রেডিটগুলি (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) সম্বন্ধে জানুন।\nনিকটতম স্বেচ্ছাসেবক আয়কর সহায়তা (Volunteer Income Tax Assistance, VITA) বা বয়স্কদের জন্য ট্যাক্স কাউন্সেলিং (Tax Counseling for the Elderly, TCE) খুঁজতে 800-906-9887 নম্বরে ফোন করুন।",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
